Progress,Finished,ResponseId,position,faculty,familiarity_1,familiarity_2,familiarity_3,familiarity_4,familiarity_12,familiarity_5,familiarity_6,familiarity_7,familiarity_8,familiarity_9,familiarity_10,familiarity_11,familiarity_13,stimulate_1,stimulate_2,stimulate_3,stimulate_4,stimulate_12,stimulate_5,stimulate_6,stimulate_7,stimulate_8,stimulate_9,stimulate_10,stimulate_11,stimulate_13,implement_1,implement_2,implement_3,implement_4,implement_12,implement_5,implement_6,implement_7,implement_8,implement_9,implement_10,implement_11,implement_13,motivation_1,motivation_2,motivation_3,motivation_4,motivation_5,motivation_6,motivation_7,motivation_9,motivation_10,motivation_11,barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_7,barriers_8,barriers_9,barriers_10,barriers_11,barriers_12,more_OS_1,more_OS_2,more_OS_3,more_OS_4,more_OS_5,more_OS_6,more_OS_7,practices_other_1,practices_other_2,practices_other_3,practices_other_4,practices_other_12,practices_other_5,practices_other_6,practices_other_7,practices_other_8,practices_other_9,practices_other_10,practices_other_11,practices_other_13,wave,Duration
100,TRUE,R_27xOzeYeTD8KwOr,Associate Professor,Social and Behavioural Sciences,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,Open Data,NA,NA,NA,NA,NA,NA,NA,Preregistration/Registered report,NA,NA,NA,Open Access,Open Data,NA,Reproducibility,Open Software / code,NA,NA,NA,NA,Preregistration/Registered report,Science Communication,NA,NA,NA,Required by journal policy,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,More policies that make Open Science practices required,NA,More collaboration/engagement with peers to make norms about good practices visible,NA,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,448
100,TRUE,R_1mFq2SL9fjBxbIL,Full Professor,Governance and Global Affairs,Open Access,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,Open Access,NA,NA,NA,NA,NA,NA,Citizen Science,NA,NA,Science Communication,NA,NA,Open Access,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,NA,Required by journal policy,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,Lack of funding for Open Science practices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,242
100,TRUE,R_27d6GCOAsYsvQdT,PhD candidate,Social and Behavioural Sciences,Open Access,Open Data,FAIR Data,NA,NA,NA,Open Peer Review,NA,Preprints,Preregistration/Registered report,NA,NA,NA,Open Access,Open Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I'm not practicing Open Science (yet),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,1586
100,TRUE,R_2aRB7tfC5bvVQiE,Full Professor,Governance and Global Affairs,Open Access,NA,FAIR Data,NA,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,NA,NA,NA,NA,NA,NA,Citizen Science,NA,Preregistration/Registered report,NA,NA,NA,Open Access,NA,FAIR Data,NA,NA,NA,Open Peer Review,NA,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,Lack of clarity about ethical issues (e.g. data sharing),NA,NA,NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,NA,NA,Better interfaces/workflows that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,119
100,TRUE,R_efVy6lSAKPwQOOt,Assistant Professor,Governance and Global Affairs,Open Access,NA,NA,Reproducibility,Open Software / code / syntax,NA,NA,NA,Preprints,Preregistration/Registered report,NA,NA,NA,Open Access,Open Data,NA,NA,NA,NA,NA,NA,NA,Preregistration/Registered report,NA,NA,NA,Open Access,Open Data,NA,Reproducibility,NA,NA,NA,NA,NA,Preregistration/Registered report,NA,NA,NA,NA,NA,Required by University policy,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,Lack of training on how to practice Open Science,Lack of funding for Open Science practices,NA,NA,NA,NA,NA,Lack of recognition in my (international) field about the value of Open Science practices,NA,NA,NA,NA,More incentives that reward Open Science practices,NA,Better interfaces/workflows that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,153
100,TRUE,R_2V4NXJXN8QVwhGa,Assistant Professor,Humanities,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,NA,Science Communication,NA,Other,NA,Open Data,NA,NA,NA,Open Education,NA,Citizen Science,NA,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,Reproducibility,NA,Open Education,Open Peer Review,NA,Preprints,NA,Science Communication,NA,NA,NA,NA,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,"Other, namely",NA,NA,Lack of funding for Open Science practices,NA,Lack of time,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,NA,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,More collaboration/engagement with peers to make norms about good practices visible,Better interfaces/workflows that make it easy to practice Open Science,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,285
100,TRUE,R_1QFvtoql2fS1oGv,PhD candidate,Science,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,NA,NA,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,NA,FAIR Data,Reproducibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I'm not practicing Open Science (yet),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,More policies that make Open Science practices required,More incentives that reward Open Science practices,NA,NA,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,63675
100,TRUE,R_ZvZHLApiSzgTDLr,Associate Professor,Governance and Global Affairs,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,Open Data,NA,Reproducibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,NA,Required by journal policy,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,203
100,TRUE,R_3fUdTULqr87sZlj,PhD candidate,Social and Behavioural Sciences,Open Access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not familiar with any,NA,Open Access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,It increases the impact of my research,NA,It is common practice in amongst my colleagues from my institute,NA,NA,Required by my supervisor(s),NA,Lack of information/knowledge about the what and why of Open Science,Lack of training on how to practice Open Science,NA,Lack of clarity about ethical issues (e.g. data sharing),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Better interfaces/workflows that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,131
100,TRUE,R_3PEL5fUHOUjxQDZ,Assistant Professor,Medicine / LUMC,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,NA,NA,NA,NA,NA,NA,Reproducibility,Open Software / code / syntax,NA,NA,NA,Preprints,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code,Open Education,Open Peer Review,NA,Preprints,Preregistration/Registered report,NA,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lack of time,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,NA,Lack of recognition in my (international) field about the value of Open Science practices,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,168
100,TRUE,R_3ek3WBP0lAhTg3h,Organisational Professional / Support Staff,Humanities,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,NA,Citizen Science,NA,NA,NA,NA,NA,Open Access,Open Data,NA,Reproducibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code,NA,NA,NA,NA,NA,NA,NA,NA,2023,5674
100,TRUE,R_248GbgLi6AU9pnd,Assistant Professor,Archaeology,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,NA,FAIR Data,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,Open Access,NA,FAIR Data,NA,NA,NA,Open Peer Review,NA,NA,NA,Science Communication,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,NA,Lack of information/knowledge about the what and why of Open Science,Lack of training on how to practice Open Science,NA,NA,NA,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,NA,NA,NA,NA,NA,More policies that make Open Science practices required,More incentives that reward Open Science practices,More collaboration/engagement with peers to make norms about good practices visible,Better interfaces/workflows that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,513
100,TRUE,R_3ipX2ndDxuEygHx,Organisational Professional / Support Staff,Administrative / library / central,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,NA,Open Software / code / syntax,NA,NA,NA,Preprints,NA,Science Communication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,NA,NA,NA,NA,Open Peer Review,Citizen Science,Preprint,Preregistration/Registered report,Science Communication,NA,NA,2023,643
100,TRUE,R_3kHUyyEpeFkCPqz,Postdoc,Social and Behavioural Sciences,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,NA,NA,NA,Open Software / code / syntax,NA,NA,NA,NA,NA,Science Communication,NA,NA,Open Access,NA,FAIR Data,Reproducibility,Open Software / code,NA,NA,Citizen Science,NA,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,It increases the impact of my research,I think it is an important part of research,It is common practice in amongst my colleagues from my institute,NA,NA,NA,NA,NA,NA,NA,Lack of clarity about ethical issues (e.g. data sharing),Lack of time,NA,NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,NA,NA,Better interfaces/workflows that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,290
100,TRUE,R_xA8jRmpuKhzWsyl,Full Professor,Interfaculty Institutes,Open Access,Open Data,FAIR Data,NA,Open Software / code / syntax,NA,NA,Citizen Science,NA,Preregistration/Registered report,Science Communication,NA,NA,Open Access,Open Data,NA,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,Open Access,Open Data,NA,NA,NA,NA,NA,NA,NA,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,Lack of funding for Open Science practices,NA,NA,NA,NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,NA,More collaboration/engagement with peers to make norms about good practices visible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,253
100,TRUE,R_2yeeX4DpVkfJjw4,Assistant Professor,Social and Behavioural Sciences,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,NA,FAIR Data,NA,NA,NA,NA,NA,NA,Preregistration/Registered report,NA,NA,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code,NA,NA,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,"Other, namely",NA,NA,NA,NA,Lack of time,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,NA,Better interfaces/workflows that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,243
100,TRUE,R_AND2JHIyDUpYVK9,Assistant Professor,Social and Behavioural Sciences,Open Access,Open Data,NA,NA,Open Software / code / syntax,NA,Open Peer Review,NA,Preprints,Preregistration/Registered report,NA,NA,NA,Open Access,Open Data,NA,NA,Open Software / code / syntax,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,NA,Reproducibility,NA,NA,NA,NA,NA,Preregistration/Registered report,NA,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,NA,Lack of information/knowledge about the what and why of Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Better interfaces/workflows that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,298
100,TRUE,R_UoUoYvlwG0LTD4R,Organisational Professional / Support Staff,Law,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,FAIR Data,Reproducibility,NA,NA,Open Peer Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIR Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,405
100,TRUE,R_UEkAMDfxl7c3LWN,Assistant Professor,Medicine / LUMC,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,NA,FAIR Data,Reproducibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,NA,FAIR Data,Reproducibility,NA,NA,NA,NA,Preprints,NA,NA,NA,NA,Required by funder policy,NA,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,Lack of funding for Open Science practices,NA,NA,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,NA,NA,NA,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,1268
100,TRUE,R_1kOA57bRkhyw0SQ,"Other, namely:",Social and Behavioural Sciences,Open Access,NA,NA,Reproducibility,NA,NA,NA,NA,Preprints,Preregistration/Registered report,NA,NA,NA,NA,Open Data,NA,NA,Open Software / code / syntax,NA,Open Peer Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I'm not dealing with Open Science (yet),NA,2023,243
100,TRUE,R_1mQbHrRJY62xAf8,PhD candidate,Science,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,FAIR Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIR Data,Reproducibility,Open Software / code,NA,NA,NA,NA,NA,NA,NA,NA,Required by funder policy,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lack of time,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,NA,More collaboration/engagement with peers to make norms about good practices visible,Better interfaces/workflows that make it easy to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,1214
