Progress,Finished,ResponseId,position,faculty,2025_new_q_other,familiarity_1,familiarity_2,familiarity_3,familiarity_4,familiarity_12,familiarity_5,familiarity_6,familiarity_7,familiarity_8,familiarity_9,familiarity_10,familiarity_11,familiarity_13,stimulate_1,stimulate_2,stimulate_3,stimulate_4,stimulate_12,stimulate_5,stimulate_6,stimulate_7,stimulate_8,stimulate_9,stimulate_10,stimulate_11,stimulate_13,implement_1,implement_2,implement_3,implement_4,implement_12,implement_5,implement_6,implement_7,implement_8,implement_9,implement_10,implement_11,implement_13,motivation_1,motivation_2,motivation_3,motivation_4,motivation_5,motivation_6,motivation_7,motivation_9,motivation_10,motivation_11,barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_7,barriers_8,barriers_9,barriers_10,barriers_11,barriers_12,more_OS_1,more_OS_2,more_OS_3,more_OS_4,more_OS_5,more_OS_6,more_OS_7,new2025_involvement_1,new2025_involvement_2,new2025_involvement_3,new2025_involvement_4,RR,practices_other_1,practices_other_2,practices_other_3,practices_other_4,practices_other_12,practices_other_5,practices_other_6,practices_other_7,practices_other_8,practices_other_9,practices_other_10,practices_other_11,practices_other_13,wave,Duration
100,TRUE,R_81Z5dxgUn7rNFWF,PhD candidate,Medicine / LUMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,Preprints,NA,NA,NA,NA,NA,Open Data,FAIR Data,NA,NA,NA,NA,NA,Preprints,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Preprints,NA,NA,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,Lack of funding for Open Science practices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More collaboration/engagement with peers to make norms about good practices visible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,364
100,TRUE,R_89vvq297ktOzorr,Postdoc,Law,NA,Open Access,Open Data,FAIR Data,NA,NA,Open Education,Open Peer Review,NA,Preprints,NA,Science Communication,NA,NA,Open Access,NA,FAIR Data,NA,NA,Open Education,NA,NA,NA,NA,NA,NA,NA,Open Access,NA,NA,NA,NA,Open Education,NA,NA,NA,NA,Science Communication,NA,NA,Required by funder policy,NA,Required by University policy,NA,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,Lack of funding for Open Science practices,NA,NA,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,NA,Lack of recognition in my (international) field about the value of Open Science practices,NA,NA,NA,NA,More incentives that reward Open Science practices,NA,NA,NA,NA,NA,0,12,0,0,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2785
100,TRUE,R_82s5BDBLPMpUDjz,Organisational Professional / Support Staff,Administrative / library / central,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,NA,Science Communication,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code,NA,NA,NA,NA,NA,NA,NA,NA,2025,101532
100,TRUE,R_2f5s3dypM6TOO0F,PhD candidate,Social and Behavioural Sciences,NA,Open Access,Open Data,FAIR Data,NA,NA,Open Education,Open Peer Review,NA,Preprints,NA,Science Communication,NA,NA,NA,NA,FAIR Data,NA,NA,NA,NA,Citizen Science,NA,NA,Science Communication,NA,NA,Open Access,NA,FAIR Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,It increases the impact of my research,I think it is an important part of research,It is common practice in amongst my colleagues from my institute,NA,NA,NA,NA,NA,NA,NA,Lack of clarity about ethical issues (e.g. data sharing),NA,NA,NA,I work with data that is sensitive / cannot be anonymised,Lack of recognition in my (international) field about the value of Open Science practices,NA,NA,NA,NA,More incentives that reward Open Science practices,More collaboration/engagement with peers to make norms about good practices visible,Better interfaces/workflows/tutorials that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,19,20,86,53,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,924
100,TRUE,R_8Fh13gbo4Hc5XTs,Full Professor,Medicine / LUMC,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,NA,NA,NA,Open Software / code / syntax,NA,NA,NA,Preprints,NA,NA,NA,NA,Open Access,NA,FAIR Data,NA,Open Software / code / syntax,NA,NA,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Required by funder policy,NA,Required by University policy,NA,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lack of positive examples / approaches set by other researchers,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,Other,More policies that make Open Science practices required,NA,More collaboration/engagement with peers to make norms about good practices visible,Better interfaces/workflows/tutorials that make it easy to practice Open Science,NA,NA,NA,0,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,364
100,TRUE,R_8dimKdRtwc8oGPi,PhD candidate,Science,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,NA,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,Reproducibility,NA,NA,Open Peer Review,Citizen Science,NA,NA,NA,NA,NA,NA,Open Data,FAIR Data,NA,NA,NA,Open Peer Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,Lack of clarity about ethical issues (e.g. data sharing),NA,NA,Lack of positive examples / approaches set by other researchers,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,More collaboration/engagement with peers to make norms about good practices visible,NA,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,0,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,317
100,TRUE,R_8k1Dh7kpHD2Gt7X,Researcher,Archaeology,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,Open Data,NA,Reproducibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,Reproducibility,NA,NA,NA,Citizen Science,Preprints,NA,Science Communication,NA,NA,Required by funder policy,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",Lack of positive examples / approaches set by other researchers,NA,Lack of recognition in my (international) field about the value of Open Science practices,NA,NA,NA,More policies that make Open Science practices required,NA,More collaboration/engagement with peers to make norms about good practices visible,Better interfaces/workflows/tutorials that make it easy to practice Open Science,NA,NA,NA,0,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,251
100,TRUE,R_8sad1eGWFDsYxwL,Policy advisor,Administrative / library / central,NA,Open Access,Open Data,FAIR Data,Reproducibility,NA,NA,NA,Citizen Science,NA,NA,Science Communication,NA,NA,NA,Open Data,NA,Reproducibility,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,Other,2025,541
100,TRUE,R_8jdFAC82WTi7h6g,Organisational Professional / Support Staff,Administrative / library / central,NA,NA,NA,NA,Reproducibility,Open Software / code / syntax,NA,NA,Citizen Science,NA,NA,NA,NA,NA,Open Access,NA,NA,Reproducibility,NA,NA,Open Peer Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I'm not dealing with Open Science (yet),NA,2025,88
100,TRUE,R_2Etj8E0U5cRkPNK,Postdoc,Social and Behavioural Sciences,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,FAIR Data,Reproducibility,NA,NA,NA,NA,NA,Preregistration/Registered report,NA,NA,NA,Open Access,NA,FAIR Data,Reproducibility,NA,NA,NA,NA,NA,Preregistration/Registered report,Science Communication,NA,NA,Required by funder policy,NA,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,Lack of clarity about ethical issues (e.g. data sharing),Lack of time,NA,NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,More policies that make Open Science practices required,More incentives that reward Open Science practices,NA,NA,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,0,0,0,0,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,720
100,TRUE,R_2oSoCDi9uks5PzA,PhD candidate,Science,NA,Open Access,Open Data,NA,Reproducibility,Open Software / code / syntax,NA,NA,Citizen Science,Preprints,NA,Science Communication,NA,NA,Open Access,NA,NA,Reproducibility,NA,NA,NA,NA,Preprints,NA,NA,NA,NA,Open Access,NA,NA,Reproducibility,NA,NA,NA,NA,Preprints,NA,NA,NA,NA,Required by funder policy,NA,NA,NA,I think it is an important part of research,NA,It is common practice amongst my collaborators from outside of my institute,NA,NA,NA,NA,NA,NA,NA,Lack of time,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,NA,Lack of recognition in my (international) field about the value of Open Science practices,NA,NA,NA,NA,More incentives that reward Open Science practices,More collaboration/engagement with peers to make norms about good practices visible,NA,NA,NA,NA,0,0,0,0,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,188
100,TRUE,R_8l2FjDHezBVqj5L,"Other, namely:",Social and Behavioural Sciences,from a researcher/teacher perspective,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,NA,NA,Other,NA,NA,NA,NA,NA,Open Education,NA,NA,Preprints,Preregistration/Registered report,NA,NA,NA,Open Access,Open Data,NA,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,NA,Preprints,Preregistration/Registered report,NA,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,"Other, namely",Lack of information/knowledge about the what and why of Open Science,Lack of training on how to practice Open Science,NA,NA,NA,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,NA,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,More collaboration/engagement with peers to make norms about good practices visible,Better interfaces/workflows/tutorials that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,87,87,88,88,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,956
100,TRUE,R_8HHUnx1zgwq9UPK,Full Professor,Law,NA,Open Access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,NA,NA,NA,NA,Open Education,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,NA,NA,NA,Open Education,NA,NA,Preprints,NA,Science Communication,NA,NA,NA,NA,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,"Other, namely",NA,Lack of training on how to practice Open Science,NA,NA,NA,NA,NA,NA,Lack of recognition in my (international) field about the value of Open Science practices,NA,NA,Other,More policies that make Open Science practices required,NA,NA,NA,More supporting infrastructure that makes it possible to practice Open Science,NA,Other,0,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,3636
100,TRUE,R_2Po1i4ggjnpuiLe,PhD candidate,Social and Behavioural Sciences,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,Reproducibility,NA,NA,Open Peer Review,NA,NA,Preregistration/Registered report,NA,NA,NA,NA,Open Data,FAIR Data,Reproducibility,NA,NA,NA,NA,NA,Preregistration/Registered report,NA,NA,NA,NA,NA,NA,NA,I think it is an important part of research,It is common practice in amongst my colleagues from my institute,NA,It looks good on my CV,NA,NA,NA,NA,NA,NA,Lack of time,NA,NA,NA,Lack of recognition in my (international) field about the value of Open Science practices,NA,NA,NA,NA,More incentives that reward Open Science practices,NA,Better interfaces/workflows/tutorials that make it easy to practice Open Science,NA,NA,NA,0,9,17,26,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,554
100,TRUE,R_8fe0EnRDBty8YZ6,Assistant Professor,Social and Behavioural Sciences,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,FAIR Data,Reproducibility,NA,NA,NA,NA,NA,Preregistration/Registered report,NA,NA,NA,Open Access,Open Data,NA,Reproducibility,NA,NA,Open Peer Review,NA,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,Lack of funding for Open Science practices,Lack of clarity about ethical issues (e.g. data sharing),NA,NA,NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,NA,Better interfaces/workflows/tutorials that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,9,7,8,57,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,321
100,TRUE,R_2KH3b19f88Xe72G,Assistant Professor,Humanities,NA,Open Access,Open Data,FAIR Data,Reproducibility,NA,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,Open Data,NA,NA,NA,Open Education,NA,NA,NA,NA,Science Communication,NA,NA,Open Access,Open Data,FAIR Data,NA,NA,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,It looks good on my CV,NA,NA,NA,NA,Lack of funding for Open Science practices,NA,Lack of time,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,NA,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,NA,Better interfaces/workflows/tutorials that make it easy to practice Open Science,NA,NA,NA,0,0,0,18,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,144787
100,TRUE,R_8O6XzmBe8jPRPhS,Associate Professor,Archaeology,NA,Open Access,Open Data,FAIR Data,Reproducibility,NA,Open Education,Open Peer Review,Citizen Science,Preprints,NA,Science Communication,NA,NA,Open Access,Open Data,FAIR Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,NA,FAIR Data,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,Required by funder policy,NA,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,Lack of information/knowledge about the what and why of Open Science,Lack of training on how to practice Open Science,NA,NA,Lack of time,NA,NA,NA,NA,NA,NA,NA,More policies that make Open Science practices required,NA,NA,Better interfaces/workflows/tutorials that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,0,0,0,0,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,698
100,TRUE,R_8zkz2T03cd7KDGk,Researcher,Medicine / LUMC,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,Open Data,NA,Reproducibility,Open Software / code / syntax,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,NA,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,NA,Preprints,NA,NA,NA,NA,NA,Required by journal policy,NA,It increases the impact of my research,NA,NA,NA,NA,NA,"Other, namely",NA,NA,NA,NA,Lack of time,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",Lack of positive examples / approaches set by other researchers,NA,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,NA,Better interfaces/workflows/tutorials that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,17,14,26,55,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,3685
100,TRUE,R_2thL2lAHlVZoouZ,Policy advisor,Administrative / library / central,NA,Open Access,Open Data,NA,NA,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,NA,NA,NA,NA,NA,NA,NA,NA,Open Education,Open Peer Review,NA,NA,Preregistration/Registered report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,NA,NA,NA,NA,Open Education,Open Peer Review,NA,Preprints,NA,NA,NA,NA,2025,1515
